,movie name,year,rating
0,'The Shawshank Redemption','1994','9.3'
1,'The Godfather','1972','9.2'
2,'The Godfather: Part II','1974','9.0'
3,'The Dark Knight','2008','9.0'
4,'12 Angry Men','1957','8.9'
5,"""Schindler's List""",'1993','8.9'
6,'The Lord of the Rings: The Return of the King','2003','8.9'
7,'Pulp Fiction','1994','8.9'
8,'Il buono,il brutto,'West Germany | Italy | Spain'
9,'Fight Club','1999','8.8'
10,'The Lord of the Rings: The Fellowship of the Ring','2001','8.8'
11,'Forrest Gump','1994','8.8'
12,'Star Wars: Episode V - The Empire Strikes Back','1980','8.8'
13,'Inception','2010','8.8'
14,'The Lord of the Rings: The Two Towers','2002','8.7'
15,"""One Flew Over the Cuckoo's Nest""",'1975','8.7'
16,'Goodfellas','1990','8.7'
17,'The Matrix','1999','8.7'
18,'Shichinin no samurai','1954','8.7'
19,'Cidade de Deus','2002','8.6'
20,'Se7en','1995','8.6'
21,'Star Wars','1977','8.6'
22,'The Silence of the Lambs','1991','8.6'
23,"""It's a Wonderful Life""",'1946','8.6'
24,'La vita è bella','1997','8.6'
25,'The Usual Suspects','1995','8.6'
26,'Sen to Chihiro no kamikakushi','2001','8.6'
27,'Saving Private Ryan','1998','8.6'
28,'Léon','1994','8.6'
29,'Spider-Man: Into the Spider-Verse','2018','8.7'
30,'The Green Mile','1999','8.5'
31,'Interstellar','2014','8.6'
32,'Psycho','1960','8.5'
33,'American History X','1998','8.5'
34,'City Lights','1931','8.5'
35,"""C'era una volta il West""",'1968','8.5'
36,'Casablanca','1942','8.5'
37,'Modern Times','1936','8.5'
38,'The Pianist','2002','8.5'
39,'Intouchables','2011','8.5'
40,'The Departed','2006','8.5'
41,'Terminator 2: Judgment Day','1991','8.5'
42,'Back to the Future','1985','8.5'
43,'Whiplash','2014','8.5'
44,'Rear Window','1954','8.5'
45,'Raiders of the Lost Ark','1981','8.5'
46,'The Lion King\xa0','1994','8.5'
47,'Gladiator','2000','8.5'
48,'The Prestige','2006','8.5'
49,'Apocalypse Now','1979','8.5'
